mean_idle_time,mean_idle_time-Secretary,mean_idle_time-Nurse,mean_idle_time-Doctor,mean_waiting_time,mean_waiting_time-1,mean_waiting_time-2,mean_waiting_time-3,mean_waiting_time-4,mean_waiting_time-5,mean_waiting_time-Registration,mean_waiting_time-Screening,mean_waiting_time-Medical_Care,mean_waiting_time-Exam_Medicine,mean_size_queue,mean_size_queue-Registration,mean_size_queue-Screening,mean_size_queue-Medical_Care,mean_size_queue-Exam_Medicine
0.28,0.48,0.01,0.35,1587.60,694.95,1918.57,1699.85,1665.22,1513.53,2.82,832.60,481.12,721.74,38.80,0.28,81.23,36.51,37.16
0.30,0.48,0.01,0.42,1523.14,459.21,1641.03,1698.90,1513.33,1640.37,2.72,666.54,340.44,991.66,36.92,0.26,85.50,23.03,38.90
0.30,0.47,0.01,0.42,1760.61,330.57,1918.21,1979.70,1952.20,1690.79,3.85,644.74,205.71,1125.83,44.13,0.39,125.61,21.53,29.00
0.30,0.44,0.00,0.44,1605.77,423.45,1895.27,1683.23,1520.28,1787.62,3.39,538.36,356.15,1273.93,41.66,0.35,109.51,23.00,33.77
0.32,0.51,0.01,0.45,1499.36,398.58,1649.12,1648.64,1483.18,1547.20,2.97,699.28,311.64,1097.89,34.79,0.28,86.19,20.03,32.68
0.25,0.47,0.00,0.28,1243.32,649.14,1632.15,1337.50,988.40,1129.00,3.10,713.49,304.94,534.00,31.12,0.31,61.41,36.25,26.50
0.28,0.47,0.00,0.37,1573.91,468.85,1991.66,1571.33,1710.39,1419.15,2.83,854.30,147.54,944.29,38.27,0.28,87.41,30.71,34.68
0.25,0.45,0.01,0.29,1656.24,977.52,2107.57,1604.47,1524.29,1605.54,3.42,798.27,432.89,666.94,42.51,0.35,71.71,54.79,43.20
0.29,0.49,0.00,0.37,1572.96,429.06,1917.02,1851.47,1592.66,1364.44,2.71,898.72,209.24,974.20,37.44,0.26,91.42,28.04,30.03
0.26,0.47,0.00,0.32,1667.99,862.55,2188.42,1659.93,1539.18,1484.32,3.34,940.51,263.73,996.51,42.30,0.34,84.24,49.40,35.21
0.28,0.46,0.01,0.36,1411.57,680.97,1608.93,1332.80,1480.87,1596.49,3.83,626.03,388.33,674.06,35.53,0.38,74.61,29.70,37.40
0.26,0.48,0.01,0.30,1840.63,862.40,2296.56,1817.93,1782.14,1797.33,2.71,1003.74,554.23,702.54,45.16,0.27,87.47,45.86,47.05
0.30,0.45,0.00,0.45,1860.15,359.66,1982.10,2017.33,1919.08,2177.48,3.83,567.96,285.99,1474.76,47.46,0.39,132.78,20.60,36.07
0.27,0.46,0.01,0.34,1957.50,708.92,2422.64,2183.55,1646.00,1886.06,2.81,1165.98,285.03,1151.16,50.12,0.29,107.81,52.52,39.86
0.26,0.45,0.00,0.33,1830.61,1041.43,2043.17,1997.48,1633.15,1925.72,3.77,807.16,563.09,766.68,46.21,0.38,87.12,44.19,53.17
0.29,0.50,0.00,0.36,1765.98,696.12,2241.76,1724.55,1994.44,1622.20,2.88,1088.26,216.26,1038.40,41.67,0.27,89.45,40.59,36.38
